ARKTIKUL;CODE;NAME;CENA_ROZN;CENA_OPT;URL;OSTATOK;GROUP;OPISANIE;GARANT;IMPORT;EAN;PROIZV;STRANA;MATERIAL;CVET;DLINA;DIAM;IST;UPAK;CENA_IM
24603195001;у12885;Вкладки силиконовые;2290;1316;http://kazanova.su/files/foto/24603195001.jpeg;0;Аксессуары для груди;2 силиконовые вкладки правильной анатомической формы. Ваша грудь будет казаться на 1-2 размера больше чем прежде.;;20;4,02E+12;Orion, Германия;Китай;силикон;;;;;картонная коробка;1603
7705900000;у12406;Украшение Кисточки на соски;730;360;http://kazanova.su/files/foto/7705900000.jpeg;0;Аксессуары для груди;Возбуждающие накладки на соски с кисточками длиной 7 см.;;20;4,02E+12;Orion, Германия;Китай;ПВХ, PU-кожа и Нейлон;черный;7 - 13,5 см;5,5 см;;картонная коробка;
7706710000;у12408;Украшение Насадки на соски;610;377;http://kazanova.su/files/foto/7706710000.jpeg;0;Аксессуары для груди;Украсьте свои соски!Эти красиво сделанные, легкие как перышки клипсы для сосков притягивают к себе взгляд. Просто слегка разогните и прикрепите клипсы на соски - не требуют прокалывания сосков! Фиолетовые. Материал: ABS.;;20;4,02E+12;Orion, Германия;Китай;АБС-Пластик ,ТПР;фиолетовый;;1 - 1,3 см;;блистер;427
7792450000;у12362;Кисточка для соска;990;363;http://kazanova.su/files/foto/7792450000.jpeg;0;Аксессуары для груди;Прекрасное украшение для вашего частного стрип-шоу! Сияющий блестками красная накладка на соски в виде сердца (? 6 см) с длинными кистями (11 см). С клейкой лентой на обратной стороне. 1 пара.;;20;5,02E+12;Orion, Германия;Китай;Сатин, ПВХ;красный;11 см;6 - 7 см;;картонная коробка;720
5201100000;2293;Накладка для увеличения груди;2650;972;http://kazanova.su/files/foto/5201100000.jpeg;0;Аксессуары для груди;Супер грудь Хотите, чтобы Ваша грудь всегда выгледела сексуально, накладные соски, это то что Вам нужно. Они крепятся на Ваши соски и всегда прибывают в возбужденном состоянии.;;20;4,02E+12;Orion, Германия;Китай;PU-кожа;;;;;картонная коробка;1940
7714490000;у13190;"Украшение на соски ""Кисточки Золотое сердце""";680;336;http://kazanova.su/files/foto/7714490000.jpeg;0;Аксессуары для груди;Для очень приватных использований! Самоклеящиеся сердцевидные золотые накладки для сосков (диаметр приблизительно 6 см) с кисточками длинной 10 см. Материал 100% полиэстер.;;20;4,02E+12;Orion, Германия;Китай;;золотой;;;;картонная коробка;
7714570000;у13191;"Украшения для сосков ""Кисточки розово-черные""";680;336;http://kazanova.su/files/foto/7714570000.jpeg;0;Аксессуары для груди;Для очень приватных использований! В лучших традициях французского Мулен Ружа... Сердцевидные черные накладки с красными стразами для сосков (диаметр приблизительно 6 см) с кисточками длинной 10 см. Материал 100% полиэстер.;;20;4,02E+12;Orion, Германия;Китай;PU-кожа,SiO2,Полиэстер;красн/черный;10 - 13 см;6 - 7 см;;картонная коробка;
24602891001;у13206;Подкладки для груди;850;341;http://kazanova.su/files/foto/24602891001.jpeg;0;Аксессуары для груди;Две вкладки в лифчик для увеличения и поднятия формы груди с клейкими полосками. Подходят для размеров с чашкой A и B. Цвета: телесный и серый. Материал 100% полиэстер.;;20;4,02E+12;Orion, Германия;Китай;;;;;;картонная коробка;
2207870000;т3700;Силиконовые вкладки  р B до DD;1830;1051;http://kazanova.su/files/foto/2207870000.jpeg;0;Аксессуары для груди;Для волнующе-привлекательного декольте! Эти анатомически идеально сформированные силиконовые вкладки размкщают в бюстгальтере и Ваша грудь кажется роскошнее минимум на один размер! Подходит для размера с B до DD. Один комплект.;;20;4,02E+12;Orion, Германия;Китай;силикон;;;;;картонная коробка;1281
2208760000;5420;Увеличитель груди на липучке;850;341;http://kazanova.su/files/foto/2208760000.jpeg;0;Аксессуары для груди;Для БОЛЬШЕГО ОБЪЕМА! Идеальное решение для Вашего любимого платья без бретелек: 2 цвета (телесный и черный), 4 клейкие полоски. Подходят для чашек лифчика A и B.   Материал: полиуретан.;;20;4,02E+12;Orion, Германия;Китай;;;;;;картонная коробка;
24600685001;у18266;Вкладки силиконовые;1120;444;http://kazanova.su/files/foto/24600685001.jpeg;0;Аксессуары для груди;;;20;4,02E+12;Orion, Германия;Китай;силикон;;;;;картонная коробка;
7731740000;у26943;Стикеры-сердечки на грудь;400;132;http://kazanova.su/files/foto/7731740000.jpeg;0;Аксессуары для груди;Игривые наклейки для сосков с блестками в форме сердца - немного интриги никогда не помешает!.  Размер: 5,9 х 5,9 см. Материал: 80% бумаги, 15% ПЭТ, 5% клей. 1 пара.;;20;4,02E+12;Orion, Германия;Китай;80% Бумага 15% ПЭТФ 5% Клей;;5,2 см;;;блистер;280
5614100000;т4380;Temptation Вибратор анальный голубой, L 16cm, D 2cm;2990;1113;http://kazanova.su/files/foto/5614100000.jpeg;0;Анальные игрушки/Вибраторы;Пенис анальный с полой головкой и пульсирующими венами! Несколько скоростей колебания Размер: 16 см., диаметр 1,5 см.-2 см.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;голубой;16 - 18 см;1,5 - 2,5 см;1 AAA, нет в комплекте;блистер;2730
5637730000;т2143;Вибратор анальный Sexual Server blue;2660;851;http://kazanova.su/files/foto/5637730000.jpeg;0;Анальные игрушки/Вибраторы;Анальный вибратор! Водонепроницаемый анальный вибратор с тонкой, подвижной вершиной. Очень энергичная вибрация в вершине возбуждает каждый анальный или вагинальный нерв. Мягкий, сине-прозрачный силикон. Общая длина 18,5 см, диаметр 1-3 см. Вибрации плавно регулируются.;;20;4,02E+12;Orion, Германия;Китай;ПВХ;голубой;18,5 см;1 - 3 см;2 AAA, нет в комплекте;блистер;1862
